rank,stadium,capacity,city,state,year_opened,type,tenant(s),image,location
389,PNC Field,10000,Moosic,Pennsylvania,1989,Baseball,"Scranton/Wilkes-Barre RailRiders (IL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/PNC_Field_right_field.jpg/150px-PNC_Field_right_field.jpg,"[41.3604467, 41.3604467]"
390,Northwestern Medicine Field,10000,Geneva,Illinois,1991,Baseball,Kane County Cougars (American Association),No Image,
391,Prince George's Stadium,10000,Bowie,Maryland,1994,Baseball,Bowie Baysox (Eastern),No Image,"[38.9455047, 38.9455047]"
392,Durham Bulls Athletic Park,10000,Durham,North Carolina,1995,Baseball,Durham Bulls (IL),No Image,"[35.9915839, 35.9915839]"
393,Gold Mine on Airline,10000,Metairie,Louisiana,1997,Multipurpose,New Orleans Gold (MLR),No Image,"[29.97553855, 29.97553855]"
394,American Family Fields of Phoenix,10000,Phoenix,Arizona,1998,Baseball,,No Image,
395,Autozone Park,10000,Memphis,Tennessee,2000,"Baseball, Soccer",Memphis Redbirds (IL)Memphis 901 FC (USL Championship),No Image,"[35.14280665, 35.14280665]"
396,WakeMed Soccer Park,10000,Cary,North Carolina,2002,Soccer,"North Carolina Courage (NWSL)North Carolina FC (USL League One)Carolina Flyers (AUDL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/WakeMed_Soccer_Park_2013.jpg/150px-WakeMed_Soccer_Park_2013.jpg,"[35.78686, 35.78686]"
397,First Horizon Park,10000,Nashville,Tennessee,2015,Baseball,Nashville Sounds (IL),No Image,"[36.17252255, 36.17252255]"
398,Wild Horse Pass Stadium,10000,Chandler,Arizona,2021,Soccer,Phoenix Rising FC (USL Championship),No Image,
399,Jerry Comalander Stadium,10000,San Antonio,Texas,,"Football, soccer",,No Image,"[29.5490742, 29.5490742]"
400,Rip Hewes Stadium,10000,Dothan,Alabama,,multipurpose,,No Image,"[31.20578855, 31.20578855]"
401,Withington Stadium,10000,Jackson,Michigan,,multipurpose,,No Image,
402,Kingston Stadium,10000,Cedar Rapids,Iowa,1952,"Football, soccer",,No Image,"[41.9674074, 41.9674074]"
403,Suplizio Field,10000,Grand Junction,Colorado,1949,Baseball,Grand Junction Jackalopes (Pioneer),No Image,"[39.07633865, 39.07633865]"
404,Houck Stadium,10000,Cape Girardeau,Missouri,1930,Football,Southeast Missouri State Redhawks (NCAA),No Image,"[37.30948395, 37.30948395]"
